Clean_Content,0
early bird registration for dataverse is open https events skyros congressos pt form congress dataverse find all the details about this year s event https projects iq harvard edu dcm opensoftware datarepositories fairdata researchdata,Veranstaltung
register for the dataverse training on april featuring sonia barbosa amber leahey alejandra tenorio robles jes s herrera de la cruz and our own gabioshka https www eventbrite com e dataverse training at csvconf tickets csvconf researchdata fairdata openscience,Veranstaltung
we re hiring apply now and join our researchdata management team you ll be responsible for the planning organization and management of research data generated by our researchers rdm rdmjobs fairdatahttps www mdc berlin de career jobs research data manager mfd,Veranstaltung
webinar may th fair data for heritage science i and barbro borns ter uppsala university library will be presenting results from our r d project at swedish national heritage board join us to discuss fairdata heritagescience vocabularies openscience https www raa se in english events seminars and cultural experiences fair data for heritage science,Veranstaltung
newspecies new sibling of the world famous chocolate frog synapturanus danta discovered on frogfriday synapturanus artifexholotype instituto sinchitreatment http treatment plazi org id c e ffc ff c f fd c ffe fpublication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals herpetology herps amphibia frogs colombia,Publikation
if you know someone who s asking how can i practically apply the fair principles in my work or how do i know what s the right fair enabling tool for me and they are in an eu or horizon europe associated country then the fair impact opencall is the place to go see you there https fair impact eu fair impact open calls support fairdata openscience rdm,Veranstaltung
newspecies new copepod from the pacific ocean just surfaced echinolaophonte musatreatment http treatment plazi org id c d b c a ba bbpublication http doi org zse zoosyst evo fairdata science taxonomy ecology biodiversity nature wildlife conservation animals copepods pacific ocean,Publikation
newspeciesnew corymorphid from ghost bay southeast asia just surfaced corymorpha tropicatreatment http treatment plazi org id b d d ffd d c fab db a publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals hydrozoa medusa,Publikation
newspecies new bush cricket from brazil just crawled in listroscelis cyanotibiatustreatment http treatment plazi org id bf ffbd ff cbd c ee publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects crickets orthoptera brazil,Publikation
newspecies new land snail from china just crawled in laeocathaica qishiliitreatment http treatment plazi org id de aa c abd f d dpublication http doi org zookeys zookeys journal fairdata science taxonomy ecology biodiversity nature wildlife conservation animals malacology snails china,Publikation
on march university college cork library was treated to an educational visit by the digital repository of ireland team read our write up in the library s river side blog digital preservation of research data with the digital repository of ireland https theriverside ucc ie digital preservation of research data with the digital repository of ireland digipres openscience openresearch opendata fairdata,Veranstaltung
newspecies new jewel beetle from the china just flew in anthaxia svatoplukbilyitreatment http treatment plazi org id fe a b bb bda d a publication http doi org zookeys zookeys journal fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects coleptera beetles jewels,Publikation
newspecies costus whiskeycolaa newly discovered plant from colombia not named after a drink but after its type locality el whiskey with cola latin for living in treatment http treatment plazi org id a c e b f beecf cec publication http doi org phytokeys phytotaxa fairdata science ecology taxonomy nature biodiversity conservation botany wildflowers flowers wildplants plants wildlife whiskeycola colombia,Publikation
a new blog post is up how much do we plant pathologists value openness and transparency edelponte and adamhsparks discuss their latest paper with zacharyfoster et al and what the implications are for plant pathology why it may be so closed and how we can be more open and reproducible in our research reproducibleresearch fairdata openresearch openaccess,Veranstaltung
