Clean_Content,0
hello mastodon looking forward to interacting with everyone here incf is an international non profit working to facilitate data sharing in neuroscience through the adoption of fair standards and best practices thanks to incf members neuromatch for hosting this mastodon instance neuroscience neuroinformatics openscience opendata fairdata informatics datamanagement,Veranstaltung
in our next nfdi infratalk antonias from helmholtzopenscienceoffice will talk about a persistent identifiers pid strategy for germany registration includes discussion https www nfdi de talks stream https www youtube com watch v zxpfvkcc k fairdata openscience rdm fdm,Veranstaltung
newspecies new springtail from japan just wriggled by crossodonthina eleganstreatment http treatment plazi org id b a ffe da fbfffcacfa apublication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals collembola japan,Publikation
newspecies new freshwater snail from lecce italy just crawled in mercuria lupiaensisholotype museo nacional de ciencias naturales madridtreatment http treatment plazi org id c c ffc ffd ec fa b dffdefpublication http doi org ejt ejtaxonomy fairdata science taxonomy ecology biodiversity nature wildlife conservation animals malacology snails italy,Publikation
newspeciesnew false click beetle from dominican amber just surfaced on fossilfriday nematodes thoracicustreatment http treatment plazi org id b ffa ff b aa fbc fe cc publication http doi org zenodo insectamundi fairdata science taxonomy ecology biodiversity nature wildlife conservation animals invertebrates entomology insects coleoptera beetles bugs paleo paleontology fossil,Publikation
this morning s department science talk is about the european digitaltwin for the ocean interestingly it s all based on opensource data code foss fairdata edito copernicus copernicusecmwf,Veranstaltung
check out the recording of the datacite webinar dois for researchsoftware featuring morane gruenpeter swheritage lars nielsen zenodo and sdruskat dlr https www youtube com watch v laudaq li elots of food for thought and interesting discussions with people actively working to promote recognition for software in the research ecosystem openscience fairdata,Veranstaltung
we curated new prefixes covering all international clinical trial registries appearing in the who international clinical trials registry platform https trialsearch who int read up here https bioregistry io collection bioinformatics clinicalinformatics systemsbiology semanticweb opendata fairdata fair,Veranstaltung
what s in it for you your organization the continent with datacite s global access program gap in africa join our webinar on june at am utc pm eat noon cat am wat about datacite the datacite gap for africa https datacite zoom us webinar register wn xlbggtjwtqkrysewmyu saplease boost if you like to spread the word about datacite in the african region gabioshka openscience openresearch fairdata africa globalaccessprogram gap researchdata,Veranstaltung
nfdi i like the idea of nfdi questions hours maybe some additional hashtags could help to find the right audience for next thuesday ai maybe could also be interesting in the context of chatgpt terminology ontology researchdata nfdi fairdata,Veranstaltung
for those of you active in openscience the eu se conference is covering great topics such as fairdata eosc and citizenscience yesterday and sciencecommunication today https oppenvetenskap se programme my slides are here https zenodo org record zgsf nakfci,Veranstaltung
derudas phd project developed tested rejected and redeveloped solutions for making d documentation of excavations more useful to archaeologists her final product air archaeological interactive report is built on opensource omekas code cidoccrm and integrates linkeddata more work is necessary but great example of fairdata implementation archaeology digitalheritage https omeka ht lu se s reports page home,Veranstaltung
newspeciesnew treefrog from peru jumped in on frogfriday scinax pyroinguinisholotype centro de ornitologia y biodiversidad corbidi treatment http treatment plazi org id a f aa e e c e ba ffc f publication http doi org evolsyst evolutionarysystematics fairdata science taxonomy ecology biodiversity nature wildlife conservation animals herpetology herps amphibia frogs peru,Publikation
newspecies new millipede from brazil just tiptoed by pseudonannolene granulatatreatment http treatment plazi org id f ba b b d b fe afb e publication http doi org ejt zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals invertebrates diplopoda millipede brazil,Publikation
newspeciesnew polychaete worm from australia named after davidattenborough just surfaced marphysa davidattenboroughitreatment http treatment plazi org id c d b ff e da cd publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals invertebrates worms annelida australia,Publikation
newspecies new bat from thailand just fluttered in hipposideros kingstonaetreatment http treatment plazi org id e b ffd ffd ff a ff bfbc fb publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals mammalogy mammals chiroptera bats thailand,Publikation
plugging the gaps quite an interesting useful paper exploring disconnection between institutionalpolicies on research data practical implementation of fair includes some jedi mind trick suggestions for researcher buy in study is based on us institutions but i think the findings could be found elsewhere are institutional research data policies in the us supporting the fair principles a content analysis https doi org jeslib researchdata fairdata fairdataprinciples opendata,Veranstaltung
we have two more preprints available on our preprint server rdm platform coscine fair play integrated right from the start https preprints inggrid org repository view fairdata metadata digitalobjectframework coscine researchdatamanagement rdm oa pia a concept for a personal information assistant for data analysis and machine learning in industrial application https preprints inggrid org repository view dataanalysis machinelearning dataplanning datameasurement,Veranstaltung
the nfdi section industry engagement elected prof dr florian stahl as speaker and prof dr chris eberl as deputy speaker today congratulations more https www nfdi de industry engagement speaker elected and section concept published lang en the section concept was also published https zenodo org record zfugms p w fdm rdm fairdata nfdirocks,Veranstaltung
newspecies rubus lentianusa newly discovered bramble species from austria treatment http treatment plazi org id d ffa ffd ff bbefda fb dpublication http doi org phytotaxa phytotaxa fairdata science ecology taxonomy nature biodiversity conservation botany wildflowers flowers wildplants plants wildlife bramble berries brombeere austria,Publikation
newspeciesnew polychaete worm just surfaced from a depth of m ophryotrocha kailaeholotype scripps institution of oceanographytreatment http treatment plazi org id f ffdf ffbd e b f fc cpublication http doi org ejt ejtaxonomy fairdata science taxonomy ecology biodiversity nature wildlife conservation animals worms annelida deepsea,Publikation
newspeciesdrypetes stevartiia newly discovered putranjivaceae tree from cameroon and nigeria treatment http treatment plazi org id d ee d b dc b f c b dff apublication http doi org plecevo plecevo fairdata science ecology taxonomy nature biodiversity conservation botany wildflowers flowers wildplants plants wildlife trees putranjivaceae cameroon nigeria,Publikation
newspecies new ant from cyprus just nipped us cataglyphis aphroditetreatment http treatment plazi org id b ffac ffd ff a f fb ed e dpublication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects hymenoptera formicidae myrmecology ants cyprus,Publikation
ruth mottram very much related to fairdata pangaea community workshop may and of may both am am cest utc online via zoom invitations will be send shortly before the event registration closes at may https cloud marum de apps forms s p h dm wxwlbmpx bwxzrko,Veranstaltung
attending the qgreenland qgis user workshop in cph today i learn that in the us it is the federal year of openscience fairdata is the future and something i m pushing hard on at dmi too we already have friedata time to make our climatedata fair too,Veranstaltung
newspeciesnew glassfrog from colombia just hopped in on frogfriday nymphargus pijaotreatment http treatment plazi org id e e b ffa ff c fdeb ad publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals herpetology herps amphibia frogs colombia,Publikation
newspecies ceropegia gilboaensisa newly discovered apocynaceae from south africa holotype university of kwazulu nataltreatment http treatment plazi org id a b fb b ffad aa e e f fcf publication http doi org phytotaxa phytotaxa fairdata science ecology taxonomy nature biodiversity conservation botany wildflowers flowers wildplants plants wildlife apocynaceae southafrica,Publikation
newspeciesnew keratin beetle from south africa just strolled by phoberus villetitreatment http treatment plazi org id bb d ffcf ffdd ff a fa cfa ef publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects coleptera beetles bugs keratinbeetles southafrica,Publikation
newspecies new scorpionfly from china just wagged neopanorpa exaggeratatreatment http treatment plazi org id e f a ffe b ad ee c b publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects mecoptera china,Publikation
the availability of reliable and consistent data thus represents a basic foundation to underpin major political choices on energy without good data europe s energytransition will be harder to achieve write simone tagliapietra and georg zachmann bruegel fairdata freethemodels opensciencehttps www bruegel org first glance green transition create european energy agency,Veranstaltung
conclusion of marcus roos priority of biocuration should be at least as high for fair for machines as for content quality biocuration fairdata biocuration,Veranstaltung
duchenne data platform biocuration fairdata rarediseases https duchenne nl duchenne data platform english,Veranstaltung
marco roos fairdata sharing is even more important for rare diseases where there s rarely enough information in any one place biocuration,Veranstaltung
marco roos presents the duchenne parent project fairdata https fairdata systems home duchenne parent project overall of the population is affected by rare diseases delay to time of diagnosis estimated at years rarediseases duchenne biocuration biocuration,Veranstaltung
biocuration keynote marco roos shout out to wikidata for fairdata biocuration,Veranstaltung
newspeciesnew fossil shrimp from brazilian cretaceous just surfaced on fossilfriday somalis piauiensistreatment http treatment plazi org id b ffc cf ae afe c publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals paleo paleontology paleoecology shrimps brazil,Publikation
save the date identify and track your research projects with the research activity identifier raid webinar on at pm pst pm est this a great chance to learn about raid and how it can help researchers and research institutions identify research projects and keep track of project activities please register and boost if you love pids https ucsd zoom us webinar register wn cdb yyztee p v vfluja registration persistentidentifiers pid openresearch openscience ardc gofair fairdata,Veranstaltung
we are thrilled to participate at the csvconf gabioshka presents how datacite dois help open and share researchdata at the dataverse training workshop https csvconf com fairdata openscience,Veranstaltung
newspeciesnew treefrog from papua new guinea just climed by on frogfriday litoria haematogasterholotype south australian museumtreatment http treatment plazi org id d a c fffa cf f d c a f dpublication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals herpetology herps amphibia frogs papuanewguinea,Publikation
newspecies new apple snail from peru just crawled in pomacea reeveiholotype historia natural de la universidad nacional mayor de san marcostreatment http treatment plazi org id b b bc c ff f ff b fdabf publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals malacology snails peru,Publikation
newspecies new ant from thailand just crept in polyrhachis longipilosatreatment http treatment plazi org id fd b d ffb ff f eb c fabbfdebpublication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects hymenoptera formicidae myrmecology ants thailand,Publikation
newspeciesnew soldier fly from australia just marched by lagenosoma dimorphumholotype queensland museumtreatment http treatment plazi org id b c ffba e ff c ddf fe publication http doi org zootaxa ejtaxonomy fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects diptera flyfriday flies fly queensland australia,Publikation
early bird registration for dataverse is open https events skyros congressos pt form congress dataverse find all the details about this year s event https projects iq harvard edu dcm opensoftware datarepositories fairdata researchdata,Veranstaltung
register for the dataverse training on april featuring sonia barbosa amber leahey alejandra tenorio robles jes s herrera de la cruz and our own gabioshka https www eventbrite com e dataverse training at csvconf tickets csvconf researchdata fairdata openscience,Veranstaltung
we re hiring apply now and join our researchdata management team you ll be responsible for the planning organization and management of research data generated by our researchers rdm rdmjobs fairdatahttps www mdc berlin de career jobs research data manager mfd,Veranstaltung
webinar may th fair data for heritage science i and barbro borns ter uppsala university library will be presenting results from our r d project at swedish national heritage board join us to discuss fairdata heritagescience vocabularies openscience https www raa se in english events seminars and cultural experiences fair data for heritage science,Veranstaltung
better access to services data and resources with iam nfdi the consortia assembly of the nfdi association approved the funding of the basic service application identity and access management for nfdi iam nfdi by the collaborative project base nfdi this is intended to create the conditions for users from different disciplines consortia and research institutions to be able to register for services and use them more https www nfdi de identity und access management startet weg zu nfdi weitem basisdienst rdm fdm fairdata,Veranstaltung
newspeciesnew corymorphid from ghost bay southeast asia just surfaced corymorpha tropicatreatment http treatment plazi org id b d d ffd d c fab db a publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals hydrozoa medusa,Publikation
newspecies new bush cricket from brazil just crawled in listroscelis cyanotibiatustreatment http treatment plazi org id bf ffbd ff cbd c ee publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects crickets orthoptera brazil,Publikation
newspecies costus whiskeycolaa newly discovered plant from colombia not named after a drink but after its type locality el whiskey with cola latin for living in treatment http treatment plazi org id a c e b f beecf cec publication http doi org phytokeys phytotaxa fairdata science ecology taxonomy nature biodiversity conservation botany wildflowers flowers wildplants plants wildlife whiskeycola colombia,Publikation
a new blog post is up how much do we plant pathologists value openness and transparency edelponte and adamhsparks discuss their latest paper with zacharyfoster et al and what the implications are for plant pathology why it may be so closed and how we can be more open and reproducible in our research reproducibleresearch fairdata openresearch openaccess,Veranstaltung
newspeciesnew moray eel from india just swam in on fishfriday gymnothorax tamilnaduensistreatment http treatment plazi org id e e e ae bba f publication http doi org zse zoosyst evo fairdata science taxonomy ecology biodiversity nature wildlife conservation animals fish teamfish ichthyology moray eels fishfriday india,Publikation
newspecies new fly from the lower eocene of colorado usa just surfaced on fossilfriday eornithoica grimaldiitreatment http treatment plazi org id f cb ffaa a fcaff ba cpublication http doi org palaeoentomology palaeoentomology fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects paleo paleontology paleoecology diptera flyfriday flies fly colorado usa,Publikation
our th nfdi section industry engagement section industry is starting the goal of the section is to coordinate cooperation with industry and thereby create more value for society more https www nfdi de neue sektion industry engagement registration open for our member organisations https www nfdi de sektionen anmeldung fdm rdm fairdata,Veranstaltung
newspecies new micro land snails from thailand just crawled in e g diplommatina bulonensistreatment http treatment plazi org id ca ae f b d ae fb publication http doi org zse zoosyst evo fairdata science taxonomy ecology biodiversity nature wildlife conservation animals malacology snails thailand,Publikation
newspecies new cicada from the philippines just flew in neopurana boupteratreatment http treatment plazi org id e bb b ffca b fce fd publication http doi org journalofnaturalhistory fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects hemiptera cicada philippines,Publikation
we are mapping the current training opportunities in openrri can you help us know of any training opportunities activities resources about researchintegrity openaccess fairdata citizenscience diversityandinclusion openscience etc https survey au dk linkcollector key u tuk horizoneu openaire patterneu,Veranstaltung
and in a parallel capacitybuilding session ludwighuelk is presenting best practice approaches for opensource annotated fairdata with the openenergyplatform oep fairdata for openscience openmod,Veranstaltung
join us for the st public event of the australian openscience network on march speakers from ardc australian citizen science association and open access australasia chaired by the council of australian university librarians open science in australia how can we support key international initiatives info https www caul edu au events open science australia how can we support key international initiatives openaccess openresearch fairdata boosts welcome,Veranstaltung
the gbif fairsharingcommunitychampions are fantastic contributors to our programme their efforts have enriched the description of the biodiversity landscape in fairsharing thanks for being a part of the programme read more about the bicikl fairsharing powered web app that reveals links among orgs implementing biodiversity fairdata standards databases policies joint blog post at gbif https www gbif org news p o iu if axqqvuuszuz gbif staff join the fairsharing community champions programmeat fairsharing https blog fairsharing org p also on the bird site,Veranstaltung
newspeciesnew flattie spider from australia just appeared karaops durrantorumholotype western australian museumtreatment http treatment plazi org id ba bd ea a f ba a af f b fc epublication http doi org zookeys zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals spiders arachnology arachnids,Publikation
newspecies allium sunhangiia newly discovered amaryllidaceae from uzbekistan treatment http treatment plazi org id fca d dd a a c f publication http doi org phytokeys phytokeys fairdata science ecology taxonomy nature biodiversity conservation botany wildflowers flowers wildplants plants wildlife wildflowers uzbekistan,Publikation
newspecies new snail from laos just crawled in alycaeus goliathholotype mus um national d histoire naturelle paristreatment http treatment plazi org id b e ff f ff fcfbfadd c publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals malacology snails laos,Publikation
newspeciesnew butterfly from guinea just fluttered in precis koivoguiiholotype uniwersytet jagiello skitreatment http treatment plazi org id ffaa ff c fc dcce a publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects lepidoptera butterflies,Publikation
newspecies new cockoo wasp from portugal just flew in chrysis crossiholotype universit de monstreatment http treatment plazi org id dfd b aa ea publication http doi org bdj e biodatajournal fairdata science taxonomy ecology biodiversity nature wildlife conservation animals entomology insects hymenoptera wasps,Publikation
if you re interested in openscience join us for the first public event for the australian open science network on march open science in australia how can we support key international initiatives https www caul edu au events open science australia how can we support key international initiatives more on the australian open science network https www caul edu au services programs australian open science networkboosts welcome openaccess openeducation fairdata,Veranstaltung
our next nfdi tooltalk on march at pm is about the research data management platform coscine the service is made for the storage management and archiving of research and metadata speaker dr ilona lang rwth aachen university stream https youtube com live ehlb a lllo feature share info https coscine de our nfdi talk series https www nfdi de talks fdm fairdata rdm datamanagement research,Veranstaltung
job alert researchdata openscience fairdata europe remoteworking the research data alliance is one of my favourite networks because it is diverse results oriented global focused on researchdata rda europe is hiring a senior expert team facilitator must live in eu deadline april https www rd alliance org were hiring senior expert team facilitator for questions regarding the position or rda europe known as rda aisbl contact ari asmi director of the rda aisblari asmi rda foundation org,Veranstaltung
two weeks until the openmod workshop hosted by the iiasa energy climate environment program learn about model comparison fairdata opensource tools messageix pyam iamc the ecemf project from ludwighuelk paulnatsuo and many others join the capacitybuilding sessions wednesday march online https forms office com e rpnbklyaxp,Veranstaltung
yes ja oui si tak whatever language you choose to this policies and modes of data provision such as the fair principles open access and creative commons are often used and interpreted synonymously but need to be clearly differentiated and related to each other https ride i d e de issues issue editorial fairdata,Veranstaltung
newspecies new bush frog from china just jumped in on frogfriday raorchestes malipoensistreatment http treatment plazi org id dcf a e c b aa e c c publication http doi org zookeys zookeys journal fairdata science taxonomy ecology biodiversity nature wildlife conservation animals herpetology herps amphibia frogs bullfrogs china,Publikation
how can i practically apply the fair principles in my work how do i know what is the right fair enabling tool for me fair impact could help first of three open calls for financial support begins in april more in our webinar on march thhttps fair impact eu node fairdata openscience,Veranstaltung
newspeciesnew cavernicolous beetle from china just looked out dongodytes mingruoaetreatment http treatment plazi org id ad bf ff ff f a f publication http doi org zootaxa zootaxa fairdata science taxonomy ecology biodiversity nature wildlife conservation animals insects entomology beetles bugs cavespecies cave cavebiology europe,Publikation
newspecies new glassfrog from ecuador just climbed in on frogfriday centrolene zarzatreatment http treatment plazi org id be b fe c bc publication http doi org zookeys zookeys journal fairdata science taxonomy ecology biodiversity nature wildlife conservation animals herpetology herps amphibia frogs glassfrogs ecuador,Publikation
what do researchers need from datadiscovery systems as it turns out much more than an ask and receive model check out the results of our large scale crowdsourcing in the gofairofficial discovery in use cases http doi org dsj openscience academicchatter researchdatamanagement fairdata,Veranstaltung
a summary of the recommendations from the ai life bioimagea fair ai workshop is now publicly available on zenodo https ai life eurobioimaging eu summary fair ai workshop we would like to thank all the participants for their valuable feedback in drafting the recommendations fairdata ai,Veranstaltung
interesting paper by parks et al on how the chemistry journalpublishing landscape supports criteria including fair and fairdata and where there is room for improvement read more at https doi org pac this paper also mentions work from nfdi chem researchdataalliance fairsharing digitalcurationcentre,Meinung
i found these resources on metadata pandemic preparedness fair data and trust useful and well written for a broad audience by the project by covid and in english and french https by covid org usecases fairdata metadata opendata,Veranstaltung
i m happy to share my interview with sandra gesing about fair software workflows and virtual research environments vres science gateways with sandra gesing as part of the researchdataalliance th anniversary calendar of events have a listen https podcast polyneme xyz episodes sandra gesinghttps www rd alliance org plenaries events events e decade data e celebrating years rda rdas th anniversary events and machinecentricscience podcast fairdata fairworkflows virtualresearchenvironments sciencegateways,Veranstaltung
lovedataweek is getting close to an end but there s still time to invite you to take a look at the recordings of the nwo openscience in practice webinars to hear about the sharing of qualitative data and interoperable open data among other topics https www nwo nl en open science practice webinar serieswe featured many interesting speakers including egonw ludowaltman jscaux rogierk many of the projects funded through the nwo opensciencefund are related to opendata and fairdata https www nwo nl en researchprogrammes open science open science fund open science fund awarded grants,Veranstaltung
if you love your data a pid and metadata is the greatest gift you can give it that s why britta dreyer will talk about persistentidentifiers at the hmcfairfriday today sign up now join this event on the last day of the lovedataweek https helmholtz metadaten de en events hmc fair friday with britta dreyer lovedata doi researchdata openscience openresearch fairdata helmholtz helmholtzopenscienceoffice,Veranstaltung
newspecies new ant from thailand just crept in lepisiota siamensistreatment http treatment plazi org id b f d fff ff a fef fe cpublication http doi org fee fareasternentomologist fairdata science biodiversity nature conservation insects entomology ants myrmecology,Publikation
looking forward to supporting the fair impact project through their high level advisory committee the project is expanding fair solutions across the eosc https fair impact eu hlac fair fairdata openscience openresearch eosc researchdata,Veranstaltung
today at pm our talk ethical aspects in research data management to lovedataweek lovedata in english online https agenda ub unibe ch de event researchdatamanagement ethics fairdata,Meinung
submit a data paper manuscript describing datasets about organisms whose life cycles depend on soil if editors from pensoft s biodiversity data journal accept it finbif will pick up the apc deadline for submissions september https www gbif org news ekewxfndeh u vaubsg opendata fairdata biodiversity,Meinung
newspecies new squat lobster from indian ocean just flushed in typhlonida milinditreatment http treatment plazi org id c ffad ff ff a b fdfde fc coriginal paper http doi org zootaxa zootaxa fairdata science nature conservation biodiversity decapoda crustaceae lobster indianocean ocean deepsea,Publikation
newspecies new stalk eyed fly from angola just flew in centrioncus crassifemurholotype nhm londontreatment http treatment plazi org id c d b f c c d original paper http doi org zookeys zookeys fairdata science nature conservation biodiversity insects entomology bugs flies fly angola,Publikation
