pyhon_tweets_fairdata
Data;ID;Content;Kategorisierung;Username;LikeCount;RetweetCount
2023-03-28 10:54:07+00:00;1640668586736795649;"@wilhwid @BBMRIERIC @ilireh @ECRIN_ERIC @tugraz @GATE_CoE @EOSCFuture @NI4OS_eu @EoscPortal @Vetenskapsradet @Stockholm_Uni The Austrian #OpenScience Policy incentivises the adoption of OS practices, defines indicators for its implementation, establishes links to #EOSC, and also covers #FAIRdata, research integrity, skills and education, and #citizenscience.
@ilireh @tugraz #EOSCTripartite https://t.co/lPwMoubkMF";Meinung ;eoscassociation;0;1
2023-03-28 10:52:12+00:00;1640668101200027648;"I spent this morning with @EeroRinne and the students of AGF-211 @UNISvalbard. 

It was great to see what data they have been collecting this term. 

The data will be published  in #NetCDF files!

#FAIRdata";Veranstaltung;LukeDataManager;0;0
2023-03-28 10:37:03+00:00;1640664290452447237;"The first panel at today's #EOSCTripartite event in #Bulgaria focuses on infrastructures in support of #OpenScience and #FAIRdata, maximising the benefits of #researchdata, with guests from key RIs and #EOSC-related initiatives.
Full programme: https://t.co/bOfLqAqsll https://t.co/5boQ83nGIL";Veranstaltung;eoscassociation;6;2
2023-03-28 10:00:53+00:00;1640655186694643712;"💰That's right! We will provide financial support to 🇪🇺 individuals &amp; organisations aiming to develop #FAIRdata implementation tools &amp; approaches. Read our FAQs to learn about the 3 OpenCalls that will be launched between 2023 and 2025📣
Check the link!
 https://t.co/cuPtQQ5Td6 https://t.co/qxmSA88pQW";Initiative;fairimpact_eu;7;7
2023-03-28 09:48:14+00:00;1640652006120386560;"The first main recommendation from the studying on scientific impact of research infrastructure: Traceability of results. On the top of it are… PIDs. 
#9KSWD #konsortSWD #researchdata #persistentidentifiers #RDM #FDM #FAIRdata #berlin @ratSWD @NFDI_de https://t.co/NpeFaPXw7o";Veranstaltung, Publikation ;Janete_Estevao;2;1
2023-03-28 08:09:00+00:00;1640627030982115329;"✨Today: Free @MetaCell webinar!✨

📅 Mar 28, 1-2pm EDT

For researchers looking for innovative ways to set up &amp; execute their life science data analyses in a collaborative, extensible, open-source cloud environment!

Register here: https://t.co/0HrhHh4qcu

#FAIR #FAIRdata https://t.co/84sR3ofumd";Veranstaltung;INCForg;1;0
2023-03-28 07:55:57+00:00;1640623747739598849;"Come and visit us and #DAPHNE4NFDI at our booth today, tomorrow and Thursday!
➡️ Booth H27 in the HSZ
#DPG2023 @NFDI #FAIRdata https://t.co/RzUhLebSG5";Veranstaltung;FAIRmat_NFDI;4;0
2023-03-28 07:55:51+00:00;1640623721592258561;"#EOSC is an overarching system that supports research and innovation through serviced access to #FAIRdata. The focus of EOSC is to become a public good. 
Read the opinion paper: https://t.co/cSRXCjGFLu
3/4 https://t.co/CTOvuih3Zp";Publikation;eoscassociation;1;0
2023-03-28 07:55:49+00:00;1640623716253024256;"EOSC Steering Board for Italy Giorgio Rossi presents the 3 key policy issues identified by the #EOSC  for 2022:
#dataliteracy
#EOSC and the private sector
EOSC #sovereignty on #FAIRdata
These brought to a series of opinion papers, which you can find in the following links:
1/4 https://t.co/oBu5WIzvGO";Veranstaltung;eoscassociation;2;0
2023-03-28 07:49:34+00:00;1640622139949580289;"Workshop, ‘The WorldFAIR Project’s cross-domain interoperability framework’, 20 March: slides and recording now available
https://t.co/DFBr1YNLVh
#codata #FAIRdata #OpenScience #datascience #opendata https://t.co/DSOhKfCZgh";Veranstaltung;CODATANews;9;8
2023-03-28 05:43:23+00:00;1640590387441188864;"#NewSpecies!
New bush-cricket from Brazil just crawled in:

Listroscelis cyanotibiatus

Treatment: https://t.co/8QMYD7hAZW
Publication: https://t.co/E7PUoLxNhU
@Zootaxa @insect_otd @CSE_at_FSCA @RoyEntSoc @OrthopteraCH

#FAIRdata #nature #Biodiversity #conservation #entomology https://t.co/oPNZ1Oy8hW";Publikation;plazi_species;217;55
2023-03-27 23:01:16+00:00;1640489191891976192;"Making your data findable, accessible, interoperable &amp; reusable (FAIR) can significantly increase the impact of your #research and gain more citations for your datasets. To help you achieve #FAIRness, we put together a wide range of #FAIRdata resources:📖 https://t.co/1l9Fnxlyip";Initiative;ARDC_AU;2;0
2023-03-27 18:50:52+00:00;1640426175943065628;@FairChemistry @WorldfairP @IUPAC Thank you, Leah and everybody at the @IUPAC Committee on Publications and Cheminformatics Data Standards and @FairChemistry, for everything you do to make all chemical data FAIRer! @WorldfairP @CODATANews @resdatall  #FAIRdata #ACSSpring2023;Meinung ;javiergarciamar;2;0
