,Data,ID,Content,Username,LikeCount,RetweetCount
0,2023-03-31 11:22:02+00:00,1641762772655517698,"Wear your love for tech and data ethics with pride. Get the Body-Data-Mind t-shirt from @DataFundProject and show your support for decentralized and ethical data exchange. https://t.co/p08r3jUaap

#personaldata #privacy #data #web3 #personaldata #dataprotection
#fairdata https://t.co/Ya66v1tsG0",_freedom_shop,0,0
1,2023-03-31 10:40:14+00:00,1641752255287132164,"@biblissima @Humatheque @CampusCondorcet Je peux pas, j'ai @DuDonnees sur ces dates 😔
Mais c'est complémentaire, donc, les captations vidéos seront attentivement scrutées...😉 !
#researchdata #medieval #RDM #digitization #DH #FAIRdata",amarois,0,0
2,2023-03-31 06:09:00+00:00,1641683995716112384,"Early registration is open for #BigDat2023! FYI participants will get 2 ECTS credits from @ULPGC!

Summer 7th International School on Big Data
📍 Las Palmas de Gran Canaria, Spain (&amp; virtual)
📅 July 17-21, 2023

Learn more &amp; register: https://t.co/W6EeBA6l5O

#OpenData #FAIRdata https://t.co/j5uhqgy5Yw",INCForg,1,0
3,2023-03-31 05:00:00+00:00,1641666632279035905,"Focus session ""Making Experimental Data F.A.I.R. – New Concepts for Research Data Management"" continues today!

⏰See you 09:30–12:45 in WIL A317!

#DPG2023 #DPGfrühjahrstagung #FAIRdata #RDM https://t.co/climm3M3ZO",FAIRmat_NFDI,2,1
4,2023-03-31 00:54:42+00:00,1641604900986683392,"We're doing a really good job removing single use products and materials -  #reduce #replace #reuse #recycle - can we translate this mentality to data?

What do you do with your #geospatial data when you've finished your project?

https://t.co/F1h2zVfHRK

#FAIRdata #GeoNadir",DrKJoyce,4,3
5,2023-03-30 18:47:24+00:00,1641512467061694470,Big #FAIRdata news from @ScienceMagazine this week! We have partnered with @datadryad to integrate dataset deposition within our manuscript submission and tracking system https://t.co/JjOHcjHCvY,JakeYeston,19,6
6,2023-03-30 16:16:35+00:00,1641474512129540097,Final presentation of the day: @A_Katsanidou talks about #FairData &amp; #OpenScience and gives an overview about its meaning for #MEDem. Thank you for your contribution. 🗳️#MEDemConference https://t.co/iBu5H5mC6w,MEDem_ERI,6,4
7,2023-03-30 15:52:39+00:00,1641468490749190146,New Guatemalan collection in @GBIF from the @GuatemalaPortal!! Congratulations to Dr. @RosaAJJimenezB (curator) and all the students and researchers involved! 🇬🇹🐦 @mushnatUsac #FAIRdata #CiteTheDOI,coleopterasam,9,1
8,2023-03-30 15:07:16+00:00,1641457068929601541,"New blog from @DebsEThorpe on when @dri_ireland came to town !! 

#RDM #OpenData #FAIRdata @UCCResearch @CORA_UCC @CACSSS1",CoffeyAoife,7,4
9,2023-03-30 14:24:48+00:00,1641446382090477569,"The #MEDemConference concludes with a focus on #OpenScience and #FAIRdata by @A_Katsanidou 

@MEDem_ERI will uphold these principles and use them to serve democracy researchers https://t.co/qpBaWTChuA",pazmandy,4,2
10,2023-03-30 14:11:40+00:00,1641443077553545221,"🔎 #Atlas #Search #Beta is live on the platform now!

Search through data from the private and public studies you have access to on platform

Search across characteristics such as assay type, #biomarker, sample traits etc.

#Bioinformatics #Spatialbiology #FAIRdata https://t.co/qcn54yjDGv",EnableMedicine,1,1
11,2023-03-30 13:32:30+00:00,1641433220318367744,"Founded in 2001, @hrzz_science promotes #FAIRdata principles and the move towards #OpenAccess within #Croatia.
Dejana Carić, Croatian Science Foundation, at the #EOSCTripartite event 🇭🇷
Follow live: https://t.co/wEP9LbgvII https://t.co/KL5Z5vYRny",eoscassociation,4,1
12,2023-03-30 13:09:30+00:00,1641427430903537664,"Today's @GBIF webinar concludes with @dschigel and the advantages of #publishing your data on @GBIF &amp; using #datapapers to describe it in #journals like @BioDataJournal.
👍You share your #biodiversity data in a standardised way on its way to #FAIRification!💪
#FAIRdata #OpenData https://t.co/f1YNdWaDYZ",Pensoft,11,3
13,2023-03-30 12:00:02+00:00,1641409949136740354,"#NewDataset
Plankton &amp; fishing resources
&gt; 17K occurrences from #Portugal 🇵🇹
&gt; 12K #plankton #taxa
- abundance, gender &amp; sampling #FAIRdata 

available via https://t.co/x1QMPiJRLM

@jmeesvliz @VLIZnews @EMODnet #Biology @LifeWatchVLIZ @OBISNetwork #marinescience #OpenScience https://t.co/iF0ErkkRX5",EurOBIS_VLIZ,4,2
14,2023-03-30 11:15:11+00:00,1641398660477902848,"Sanja Jurković and Lovorka Čaja share their experience with #DataStewardship at @institutrb, at the #EOSCTripartite event in #Croatia. 
A journey in support of the uptake of #FAIRdata principles and #OpenScience.
Full programme and livestream link: https://t.co/y56cFYmLmD https://t.co/5aybjTyFex",eoscassociation,2,2
